"Territory","Year","Score","Name","Births (absolute value)","Births (percentage value)"
"Italia","1999","1","MARTINA","8769","3.50"
"Italia","1999","2","ALESSIA","8488","3.39"
"Italia","1999","3","GIULIA","8409","3.36"
"Italia","1999","4","CHIARA","7838","3.13"
"Italia","1999","5","SARA","7181","2.87"
"Italia","1999","6","FRANCESCA","7004","2.80"
"Italia","1999","7","FEDERICA","5070","2.02"
"Italia","1999","8","GIORGIA","4239","1.69"
"Italia","1999","9","ANNA","3538","1.41"
"Italia","1999","10","ELISA","3306","1.32"
"Italia","2000","1","ALESSIA","9313","3.60"
"Italia","2000","2","CHIARA","8671","3.36"
"Italia","2000","3","MARTINA","8622","3.34"
"Italia","2000","4","GIULIA","8385","3.25"
"Italia","2000","5","SARA","7425","2.87"
"Italia","2000","6","FRANCESCA","6991","2.71"
"Italia","2000","7","FEDERICA","4947","1.91"
"Italia","2000","8","GIORGIA","4740","1.83"
"Italia","2000","9","ALICE","3808","1.47"
"Italia","2000","10","ANNA","3663","1.42"
"Italia","2001","1","SARA","8254","3.21"
"Italia","2001","2","CHIARA","8210","3.19"
"Italia","2001","3","ALESSIA","8146","3.17"
"Italia","2001","4","GIULIA","8068","3.14"
"Italia","2001","5","MARTINA","8036","3.13"
"Italia","2001","6","FRANCESCA","6955","2.71"
"Italia","2001","7","GAIA","4712","1.83"
"Italia","2001","8","GIORGIA","4686","1.82"
"Italia","2001","9","FEDERICA","4352","1.69"
"Italia","2001","10","ANNA","3615","1.41"
"Italia","2002","1","MARTINA","9173","3.54"
"Italia","2002","2","GIULIA","8811","3.40"
"Italia","2002","3","SARA","8052","3.11"
"Italia","2002","4","CHIARA","7524","2.91"
"Italia","2002","5","ALESSIA","7472","2.89"
"Italia","2002","6","FRANCESCA","6378","2.46"
"Italia","2002","7","GIORGIA","4775","1.85"
"Italia","2002","8","SOFIA","4194","1.62"
"Italia","2002","9","FEDERICA","4002","1.55"
"Italia","2002","10","ALICE","3921","1.52"
"Italia","2003","1","GIULIA","11147","4.32"
"Italia","2003","2","MARTINA","8993","3.48"
"Italia","2003","3","CHIARA","7532","2.92"
"Italia","2003","4","SARA","7466","2.89"
"Italia","2003","5","ALESSIA","6775","2.62"
"Italia","2003","6","FRANCESCA","6025","2.33"
"Italia","2003","7","GIORGIA","5578","2.16"
"Italia","2003","8","ALICE","4801","1.86"
"Italia","2003","9","SOFIA","4701","1.82"
"Italia","2003","10","AURORA","3770","1.46"
"Italia","2004","1","GIULIA","12245","4.54"
"Italia","2004","2","MARTINA","8526","3.16"
"Italia","2004","3","CHIARA","7544","2.80"
"Italia","2004","4","SARA","7498","2.78"
"Italia","2004","5","ALESSIA","6703","2.49"
"Italia","2004","6","FRANCESCA","5730","2.13"
"Italia","2004","7","SOFIA","5438","2.02"
"Italia","2004","8","GIORGIA","5298","1.97"
"Italia","2004","9","ELISA","4751","1.76"
"Italia","2004","10","ALICE","4719","1.75"
"Italia","2005","1","GIULIA","10845","4.12"
"Italia","2005","2","MARTINA","7604","2.89"
"Italia","2005","3","SARA","7445","2.83"
"Italia","2005","4","CHIARA","7044","2.67"
"Italia","2005","5","ALESSIA","6171","2.34"
"Italia","2005","6","SOFIA","6062","2.30"
"Italia","2005","7","FRANCESCA","5455","2.07"
"Italia","2005","8","GIORGIA","5224","1.98"
"Italia","2005","9","AURORA","4557","1.73"
"Italia","2005","10","ALICE","4170","1.58"
"Italia","2006","1","GIULIA","10233","3.82"
"Italia","2006","2","SARA","7313","2.73"
"Italia","2006","3","SOFIA","7263","2.71"
"Italia","2006","4","MARTINA","7160","2.67"
"Italia","2006","5","CHIARA","6670","2.49"
"Italia","2006","6","ALESSIA","5844","2.18"
"Italia","2006","7","GIORGIA","5672","2.12"
"Italia","2006","8","AURORA","5664","2.11"
"Italia","2006","9","FRANCESCA","4973","1.86"
"Italia","2006","10","GIADA","4318","1.61"
"Italia","2007","1","GIULIA","9670","3.59"
"Italia","2007","2","SOFIA","8422","3.12"
"Italia","2007","3","MARTINA","7731","2.87"
"Italia","2007","4","SARA","7264","2.69"
"Italia","2007","5","CHIARA","6243","2.32"
"Italia","2007","6","AURORA","5433","2.01"
"Italia","2007","7","GIORGIA","5288","1.96"
"Italia","2007","8","ALESSIA","5222","1.94"
"Italia","2007","9","FRANCESCA","4677","1.73"
"Italia","2007","10","ALICE","4083","1.51"
"Italia","2008","1","GIULIA","9624","3.47"
"Italia","2008","2","SOFIA","8972","3.23"
"Italia","2008","3","MARTINA","7327","2.64"
"Italia","2008","4","SARA","7119","2.57"
"Italia","2008","5","CHIARA","6457","2.33"
"Italia","2008","6","GIORGIA","5770","2.08"
"Italia","2008","7","AURORA","5086","1.83"
"Italia","2008","8","ALESSIA","4996","1.80"
"Italia","2008","9","FRANCESCA","4379","1.58"
"Italia","2008","10","ALICE","4324","1.56"
"Italia","2009","1","GIULIA","8998","3.31"
"Italia","2009","2","SOFIA","8854","3.26"
"Italia","2009","3","MARTINA","6981","2.57"
"Italia","2009","4","SARA","6445","2.37"
"Italia","2009","5","GIORGIA","5727","2.11"
"Italia","2009","6","CHIARA","5516","2.03"
"Italia","2009","7","AURORA","5028","1.85"
"Italia","2009","8","ALESSIA","4963","1.83"
"Italia","2009","9","ALICE","4749","1.75"
"Italia","2009","10","FRANCESCA","3957","1.46"
"Italia","2010","1","SOFIA","8922","3.34"
"Italia","2010","2","GIULIA","8550","3.20"
"Italia","2010","3","SARA","6102","2.29"
"Italia","2010","4","MARTINA","5965","2.24"
"Italia","2010","5","GIORGIA","5728","2.15"
"Italia","2010","6","CHIARA","4992","1.87"
"Italia","2010","7","AURORA","4954","1.86"
"Italia","2010","8","ALICE","4355","1.63"
"Italia","2010","9","EMMA","4154","1.56"
"Italia","2010","10","ALESSIA","4104","1.54"
"Italia","2011","1","SOFIA","8531","3.31"
"Italia","2011","2","GIULIA","8327","3.23"
"Italia","2011","3","MARTINA","5692","2.21"
"Italia","2011","4","GIORGIA","5230","2.03"
"Italia","2011","5","SARA","4964","1.93"
"Italia","2011","6","EMMA","4759","1.85"
"Italia","2011","7","AURORA","4713","1.83"
"Italia","2011","8","CHIARA","4257","1.65"
"Italia","2011","9","ALICE","4202","1.63"
"Italia","2011","10","ALESSIA","3804","1.48"
"Italia","2012","1","SOFIA","8266","3.26"
"Italia","2012","2","GIULIA","8194","3.23"
"Italia","2012","3","GIORGIA","5326","2.10"
"Italia","2012","4","MARTINA","5157","2.03"
"Italia","2012","5","EMMA","4971","1.96"
