"Territory","Year","Score","Name","Births (absolute value)","Births (percentage value)"
"Italia","1999","1","ANDREA","10334","3.91"
"Italia","1999","2","FRANCESCO","9492","3.59"
"Italia","1999","3","ALESSANDRO","8999","3.41"
"Italia","1999","4","MATTEO","8701","3.30"
"Italia","1999","5","LUCA","7799","2.95"
"Italia","1999","6","LORENZO","7498","2.84"
"Italia","1999","7","MARCO","6995","2.65"
"Italia","1999","8","DAVIDE","6417","2.43"
"Italia","1999","9","SIMONE","6377","2.42"
"Italia","1999","10","GIUSEPPE","5509","2.09"
"Italia","2000","1","ANDREA","10594","3.86"
"Italia","2000","2","FRANCESCO","10385","3.79"
"Italia","2000","3","MATTEO","9806","3.58"
"Italia","2000","4","ALESSANDRO","9224","3.36"
"Italia","2000","5","LORENZO","8050","2.94"
"Italia","2000","6","LUCA","7780","2.84"
"Italia","2000","7","MARCO","7011","2.56"
"Italia","2000","8","DAVIDE","6456","2.35"
"Italia","2000","9","SIMONE","6405","2.34"
"Italia","2000","10","GIUSEPPE","5643","2.06"
"Italia","2001","1","FRANCESCO","10283","3.78"
"Italia","2001","2","ANDREA","9730","3.58"
"Italia","2001","3","MATTEO","9650","3.55"
"Italia","2001","4","ALESSANDRO","8695","3.19"
"Italia","2001","5","LORENZO","8239","3.03"
"Italia","2001","6","LUCA","7022","2.58"
"Italia","2001","7","MARCO","6483","2.38"
"Italia","2001","8","SIMONE","6222","2.29"
"Italia","2001","9","DAVIDE","5840","2.15"
"Italia","2001","10","GIUSEPPE","5292","1.94"
"Italia","2002","1","FRANCESCO","10283","3.79"
"Italia","2002","2","ANDREA","9467","3.49"
"Italia","2002","3","ALESSANDRO","9230","3.40"
"Italia","2002","4","MATTEO","8929","3.29"
"Italia","2002","5","LORENZO","8463","3.12"
"Italia","2002","6","LUCA","6321","2.33"
"Italia","2002","7","MARCO","5940","2.19"
"Italia","2002","8","DAVIDE","5729","2.11"
"Italia","2002","9","SIMONE","5658","2.08"
"Italia","2002","10","MATTIA","5587","2.06"
"Italia","2003","1","FRANCESCO","10366","3.80"
"Italia","2003","2","ANDREA","9472","3.47"
"Italia","2003","3","ALESSANDRO","9122","3.34"
"Italia","2003","4","MATTEO","8533","3.13"
"Italia","2003","5","LORENZO","7919","2.90"
"Italia","2003","6","LUCA","6995","2.56"
"Italia","2003","7","MATTIA","6042","2.21"
"Italia","2003","8","GABRIELE","5982","2.19"
"Italia","2003","9","DAVIDE","5885","2.16"
"Italia","2003","10","MARCO","5717","2.09"
"Italia","2004","1","FRANCESCO","10412","3.66"
"Italia","2004","2","ALESSANDRO","9544","3.36"
"Italia","2004","3","ANDREA","9173","3.23"
"Italia","2004","4","MATTEO","8795","3.09"
"Italia","2004","5","LORENZO","8166","2.87"
"Italia","2004","6","LUCA","7103","2.50"
"Italia","2004","7","MATTIA","6327","2.23"
"Italia","2004","8","SIMONE","6073","2.14"
"Italia","2004","9","DAVIDE","5969","2.10"
"Italia","2004","10","MARCO","5779","2.03"
"Italia","2005","1","FRANCESCO","10181","3.63"
"Italia","2005","2","ALESSANDRO","9386","3.34"
"Italia","2005","3","ANDREA","8730","3.11"
"Italia","2005","4","MATTEO","8403","2.99"
"Italia","2005","5","LORENZO","8182","2.92"
"Italia","2005","6","MATTIA","6386","2.28"
"Italia","2005","7","LUCA","6013","2.14"
"Italia","2005","8","DAVIDE","5819","2.07"
"Italia","2005","9","GABRIELE","5702","2.03"
"Italia","2005","10","SIMONE","5652","2.01"
"Italia","2006","1","FRANCESCO","10003","3.52"
"Italia","2006","2","ALESSANDRO","9396","3.31"
"Italia","2006","3","ANDREA","8805","3.10"
"Italia","2006","4","MATTEO","8355","2.94"
"Italia","2006","5","LORENZO","7824","2.75"
"Italia","2006","6","MATTIA","5958","2.10"
"Italia","2006","7","SIMONE","5894","2.07"
"Italia","2006","8","LUCA","5864","2.06"
"Italia","2006","9","GABRIELE","5738","2.02"
"Italia","2006","10","DAVIDE","5660","1.99"
"Italia","2007","1","FRANCESCO","10047","3.51"
"Italia","2007","2","ALESSANDRO","9318","3.26"
"Italia","2007","3","ANDREA","8352","2.92"
"Italia","2007","4","MATTEO","8162","2.85"
"Italia","2007","5","LORENZO","7891","2.76"
"Italia","2007","6","GABRIELE","6149","2.15"
"Italia","2007","7","MATTIA","6011","2.10"
"Italia","2007","8","LUCA","5688","1.99"
"Italia","2007","9","DAVIDE","5666","1.98"
"Italia","2007","10","RICCARDO","5592","1.96"
"Italia","2008","1","FRANCESCO","10156","3.47"
"Italia","2008","2","ALESSANDRO","9247","3.16"
"Italia","2008","3","ANDREA","8596","2.94"
"Italia","2008","4","MATTEO","8460","2.89"
"Italia","2008","5","LORENZO","7703","2.63"
"Italia","2008","6","GABRIELE","7090","2.42"
"Italia","2008","7","MATTIA","6521","2.23"
"Italia","2008","8","RICCARDO","5926","2.02"
"Italia","2008","9","DAVIDE","5583","1.91"
"Italia","2008","10","LUCA","5334","1.82"
"Italia","2009","1","FRANCESCO","9259","3.21"
"Italia","2009","2","ALESSANDRO","9141","3.17"
"Italia","2009","3","MATTEO","8111","2.81"
"Italia","2009","4","ANDREA","7947","2.76"
"Italia","2009","5","LORENZO","7711","2.67"
"Italia","2009","6","GABRIELE","6865","2.38"
"Italia","2009","7","MATTIA","6426","2.23"
"Italia","2009","8","RICCARDO","5998","2.08"
"Italia","2009","9","DAVIDE","5220","1.81"
