"Territory","Year","Score","Name","Live births (absolute value)","Live births (percentage value)"
"Abruzzo","1999","1","FRANCESCA","209","4.2"
"Abruzzo","1999","2","CHIARA","193","3.88"
"Abruzzo","1999","3","ALESSIA","179","3.6"
"Abruzzo","1999","4","GIULIA","164","3.29"
"Abruzzo","1999","5","MARTINA","156","3.13"
"Abruzzo","1999","5","SARA","156","3.13"
"Abruzzo","1999","6","GIORGIA","137","2.75"
"Abruzzo","1999","7","FEDERICA","126","2.53"
"Abruzzo","1999","8","ALESSANDRA","78","1.57"
"Abruzzo","1999","9","CLAUDIA","77","1.55"
"Abruzzo","1999","10","VALENTINA","75","1.51"
"Abruzzo","2000","1","FRANCESCA","206","4.12"
"Abruzzo","2000","2","ALESSIA","192","3.84"
"Abruzzo","2000","3","CHIARA","183","3.66"
"Abruzzo","2000","4","MARTINA","164","3.28"
"Abruzzo","2000","5","GIULIA","159","3.18"
"Abruzzo","2000","6","SARA","145","2.9"
"Abruzzo","2000","7","GIORGIA","124","2.48"
"Abruzzo","2000","8","FEDERICA","119","2.38"
"Abruzzo","2000","9","ALESSANDRA","82","1.64"
"Abruzzo","2000","10","VALENTINA","71","1.42"
"Abruzzo","2001","1","CHIARA","210","4.05"
"Abruzzo","2001","2","SARA","194","3.74"
"Abruzzo","2001","3","FRANCESCA","178","3.43"
"Abruzzo","2001","4","GIULIA","162","3.12"
"Abruzzo","2001","5","ALESSIA","159","3.06"
"Abruzzo","2001","6","GIORGIA","152","2.93"
"Abruzzo","2001","7","MARTINA","144","2.78"
"Abruzzo","2001","8","FEDERICA","129","2.49"
"Abruzzo","2001","9","GAIA","111","2.14"
"Abruzzo","2001","10","AURORA","84","1.62"
"Abruzzo","2002","1","GIULIA","195","3.94"
"Abruzzo","2002","2","SARA","180","3.64"
"Abruzzo","2002","3","FRANCESCA","169","3.42"
"Abruzzo","2002","4","CHIARA","157","3.17"
"Abruzzo","2002","5","ALESSIA","156","3.15"
"Abruzzo","2002","6","GIORGIA","127","2.57"
"Abruzzo","2002","6","MARTINA","127","2.57"
"Abruzzo","2002","7","FEDERICA","95","1.92"
"Abruzzo","2002","8","ALICE","91","1.84"
"Abruzzo","2002","9","AURORA","83","1.68"
"Abruzzo","2002","10","GAIA","80","1.62"
"Abruzzo","2003","1","GIULIA","231","4.58"
"Abruzzo","2003","2","FRANCESCA","182","3.61"
"Abruzzo","2003","3","CHIARA","179","3.55"
"Abruzzo","2003","4","MARTINA","169","3.35"
"Abruzzo","2003","5","SARA","167","3.31"
"Abruzzo","2003","6","GIORGIA","150","2.98"
"Abruzzo","2003","7","ALESSIA","126","2.5"
"Abruzzo","2003","8","FEDERICA","100","1.98"
"Abruzzo","2003","9","AURORA","86","1.71"
"Abruzzo","2003","10","ALICE","84","1.67"
"Abruzzo","2004","1","GIULIA","229","4.45"
"Abruzzo","2004","2","CHIARA","203","3.95"
"Abruzzo","2004","3","SARA","169","3.29"
"Abruzzo","2004","4","FRANCESCA","151","2.94"
"Abruzzo","2004","5","MARTINA","150","2.92"
"Abruzzo","2004","6","GIORGIA","148","2.88"
"Abruzzo","2004","7","ALESSIA","144","2.8"
"Abruzzo","2004","8","ALICE","101","1.96"
"Abruzzo","2004","9","AURORA","100","1.94"
"Abruzzo","2004","10","FEDERICA","87","1.69"
"Abruzzo","2005","1","GIULIA","243","4.57"
"Abruzzo","2005","2","CHIARA","204","3.84"
"Abruzzo","2005","3","FRANCESCA","155","2.92"
"Abruzzo","2005","4","SARA","153","2.88"
"Abruzzo","2005","5","MARTINA","142","2.67"
"Abruzzo","2005","6","GIORGIA","139","2.61"
"Abruzzo","2005","7","ALESSIA","136","2.56"
"Abruzzo","2005","8","SOFIA","116","2.18"
"Abruzzo","2005","9","ALICE","96","1.81"
"Abruzzo","2005","10","AURORA","95","1.79"
"Abruzzo","2006","1","GIULIA","219","4.2"
"Abruzzo","2006","2","CHIARA","178","3.41"
"Abruzzo","2006","3","SARA","174","3.33"
"Abruzzo","2006","4","AURORA","139","2.66"
"Abruzzo","2006","5","GIORGIA","136","2.61"
"Abruzzo","2006","6","FRANCESCA","135","2.59"
"Abruzzo","2006","7","ALESSIA","127","2.43"
"Abruzzo","2006","7","MARTINA","127","2.43"
"Abruzzo","2006","8","SOFIA","126","2.41"
"Abruzzo","2006","9","ASIA","96","1.84"
"Abruzzo","2006","10","ALICE","88","1.69"
"Abruzzo","2007","1","GIULIA","223","4.15"
"Abruzzo","2007","2","SOFIA","180","3.35"
"Abruzzo","2007","3","CHIARA","153","2.85"
"Abruzzo","2007","4","FRANCESCA","147","2.74"
"Abruzzo","2007","5","SARA","140","2.61"
"Abruzzo","2007","6","MARTINA","138","2.57"
"Abruzzo","2007","7","GIORGIA","134","2.49"
"Abruzzo","2007","8","AURORA","119","2.22"
"Abruzzo","2007","9","ALESSIA","111","2.07"
"Abruzzo","2007","10","ALICE","92","1.71"
"Abruzzo","2008","1","GIULIA","209","3.79"
"Abruzzo","2008","2","SOFIA","185","3.35"
"Abruzzo","2008","3","CHIARA","166","3.01"
"Abruzzo","2008","4","SARA","150","2.72"
"Abruzzo","2008","5","GIORGIA","149","2.7"
"Abruzzo","2008","6","MARTINA","142","2.57"
"Abruzzo","2008","7","AURORA","116","2.1"
"Abruzzo","2008","8","FRANCESCA","108","1.96"
"Abruzzo","2008","9","ALESSIA","101","1.83"
"Abruzzo","2008","10","ALICE","89","1.61"
"Abruzzo","2008","10","ELENA","89","1.61"
"Abruzzo","2009","1","SOFIA","196","3.69"
"Abruzzo","2009","2","GIULIA","188","3.54"
"Abruzzo","2009","3","SARA","149","2.81"
"Abruzzo","2009","4","CHIARA","144","2.71"
"Abruzzo","2009","5","GIORGIA","137","2.58"
"Abruzzo","2009","6","MARTINA","131","2.47"
"Abruzzo","2009","7","AURORA","122","2.3"
"Abruzzo","2009","8","ALESSIA","115","2.17"
"Abruzzo","2009","9","FRANCESCA","114","2.15"
"Abruzzo","2009","10","ALICE","88","1.66"
"Abruzzo","2010","1","SOFIA","192","3.58"
